month,csat_mean,csat_n,tickets,replacements,cost_inr
2025-01,3.4761904761904763,126,311,29,46120
2025-02,3.395348837209302,129,328,23,37630
2025-03,3.578034682080925,173,390,43,82570
2025-04,3.391812865497076,171,368,35,62360
2025-05,3.5722543352601157,173,384,40,69920
2025-06,3.758169934640523,153,366,35,60410
2025-07,3.471794871794872,195,425,40,68110
2025-08,3.408921933085502,269,570,54,99980
2025-09,3.4198473282442747,262,582,64,119730
2025-10,3.6019417475728157,309,659,61,105020
2025-11,3.4743935309973044,371,824,94,174090
2025-12,3.2903225806451615,465,1034,152,275880
2026-01,3.123791102514507,517,1174,287,519980
2026-02,2.9481037924151696,501,1196,305,550090
2026-03,3.133056133056133,481,1072,273,497470
2026-04,3.2267441860465116,344,788,184,333110
2026-05,3.372013651877133,293,693,100,173550
2026-06,3.4015151515151514,264,586,77,139970
